out_x,out_y,in_x,in_y,
-94.43901267,-378.7081762,-94.08184809,-365.100206,
-98.97500274,-378.7081762,-98.61783817,-364.4930262,
-105.9039955,-378.7081762,-104.9396511,-358.778393,
-159.1572333,-370.3148088,-152.0139419,-358.778393,
-174.0152796,-360.7070817,-163.8360892,-355.2067473,
-190.5877157,-351.5993851,-183.6230066,-342.2059568,
-211.4104104,-337.2056528,-182.7658116,-338.0985643,
-198.3024705,-311.8469681,-181.4085862,-317.1330038,
-195.373721,-309.7754136,-181.9086166,-298.3818637,
-198.3024705,-308.9182186,-192.6949867,-294.6316357,
-225.9827249,-307.1681122,-226.4113224,-292.4172154,
-225.9827249,-308.9182186,-241.5551003,-308.0610237,
-236.8048115,-351.5993851,-255.4130858,-350.6707572,
-246.5554044,-371.6363177,-252.1271717,-360.028469,
-274.5213904,-370.3148088,-256.8417441,-355.2067473,
-338.9538794,-274.6661361,-338.5967148,-260.7367177,
-378.5634306,-302.310674,-407.2437458,-284.1309973,
-416.6728905,-342.920286,-431.1023393,-335.0269489,
-523.8936954,-389.1730982,-523.5365308,-375.7794267,
-603.5771116,-330.4909588,-589.6119768,-322.4904724,
-685.7249635,-262.8797052,-674.8671604,-250.7718261,
-752.6576045,-261.6653456,-750.3360347,-242.5927574,
-753.6576653,-268.2014573,-775.9090182,-262.8797052,
-764.9083493,-278.880678,-777.1233777,-277.5591691,
-758.6579693,-330.4909588,-774.801808,-329.1337335,
-752.6576045,-357.9211981,-768.2299798,-357.9211981,
-774.6589422,-373.6364393,-774.3017776,-357.9211981,
-823.1261747,-376.6723382,-822.7690102,-365.100206,
-879.0938633,-355.2067473,-880.5939545,-345.9919013,
-907.6670292,-370.3148088,-906.7384013,-337.2056528,
-991.922152,-339.6700884,-973.099579,-335.0269489,
-1008.744603,-286.8097316,-968.1707079,-301.4891955,
-989.7434481,-278.880678,-950.9553754,-290.3456608,
-994.0651394,-247.0573146,-979.4928248,-237.7710357,
-1020.138153,-225.4845744,-1002.565656,-225.4845744,
-1004.887226,-145.3011277,-990.8506583,-145.3011277,
-1014.102072,-94.54804185,-998.6011295,-95.54810266,
-991.922152,-48.54524483,-976.7783741,-49.54530564,
-994.0651394,0.922048543,-980.8143338,-0.649475579,
-973.9210575,43.7103644,-958.5986973,42.31742257,
-978.1355995,76.4266393,-961.7417456,74.71224935,
-971.3137561,85.07002197,-952.5268996,85.07002197,
-970.2779789,110.5715725,-960.4916696,108.8571825,
-943.2406207,243.3296443,-929.989815,241.9724189,
-932.097086,268.1525821,-921.3107159,264.5809364,
-920.8464019,297.5115101,-906.7384013,297.975824,
-929.0254707,327.9419317,-910.8815103,334.2637446,
-937.2402558,343.3000083,-917.8462195,351.4076441,
-950.1338969,359.0152495,-929.0254707,368.7658424,
-968.1707079,378.7664504,-933.7043266,380.1951087,
-929.989815,403.7679706,-927.6325288,378.7664504,
-892.2375196,391.1957776,-920.8464019,367.1586018,
-880.5939545,384.6239494,-910.8815103,351.4076441,
-821.5189342,362.4440294,-833.6982461,335.5138206,
-789.6241378,334.2637446,-795.4102039,322.8701947,
-697.0470804,317.3341439,-708.7620784,302.6546799,
-621.7925049,263.223711,-631.2573661,254.080298,
-545.3950027,222.0069193,-570.6108215,205.7916477,
-475.3550299,131.2514013,-495.8562764,123.4294971,
-425.8520201,104.8926558,-425.4948555,89.60601205,
-343.525586,136.537437,-334.1321577,126.2868137,
-302.6302423,153.64562,-296.0584142,148.7167489,
-291.9867381,193.1837382,-282.843325,184.1117581,
-260.2348075,210.3990707,-244.2695511,200.7556272,
-248.4126601,244.7225862,-242.9480422,240.0437302,
-220.2680918,266.7953568,-199.8739946,258.4377058,
-212.3390382,297.5115101,-202.088415,295.3685226,
-177.2297607,322.1201491,-165.7290615,317.3341439,
-174.0152796,370.373083,-159.1572333,359.8724445,
-157.5857092,388.8027749,-135.2629234,361.4796851,
-135.2629234,396.5889626,-124.1551051,368.7658424,
-108.1541323,401.6249831,-105.9039955,384.6239494,
-47.50758776,396.5889626,-59.54403387,366.1228246,
-29.25647807,393.4816309,-39.29280258,366.1228246,
-12.57689251,392.6244359,-19.39873585,366.6585714,
4.567007002,393.4816309,1.245376472,367.1586018,
20.17509885,397.6961728,20.96086091,366.6585714,
73.07117213,406.768153,74.49983042,383.8024709,
106.9303737,420.983303,107.2875382,399.4819957,
186.6137899,410.9826949,186.9709545,394.19596,
241.2242531,422.9119917,241.8671494,404.9823301,
276.3692471,420.983303,277.297875,401.6249831,
324.6936139,397.6961728,325.0507785,383.8024709,
